,domain,name,category,prompts,wikipedia
5045,profession,Metalsmith,metalworking_occupations,A metalsmith or simply smith is ,A metalsmith or simply smith is a craftsperson fashioning useful items out of various metals.
5046,profession,Metalsmith,metalworking_occupations,A metalsmith or simply smith is ,"The term, metalsmith, often refers to artisans and craftpersons who practice their craft in many different metals, including gold, copper and silver."
5047,profession,Metalsmith,metalworking_occupations,"The term, metalsmith, often refers to ",A metalsmith or simply smith is a craftsperson fashioning useful items out of various metals.
5048,profession,Metalsmith,metalworking_occupations,"The term, metalsmith, often refers to ","The term, metalsmith, often refers to artisans and craftpersons who practice their craft in many different metals, including gold, copper and silver."
5049,profession,Blacksmith,metalworking_occupations,A blacksmith is a metalsmith who ,"A blacksmith is a metalsmith who creates objects from wrought iron or steel by forging the metal, using tools to hammer, bend, and cut (cf."
5050,profession,Blacksmith,metalworking_occupations,A blacksmith is a metalsmith who ,"Blacksmiths produce objects such as gates, grilles, railings, light fixtures, furniture, sculpture, tools, agricultural implements, decorative and religious items, cooking utensils and weapons."
5051,profession,Blacksmith,metalworking_occupations,"Blacksmiths produce objects such as gates, ","A blacksmith is a metalsmith who creates objects from wrought iron or steel by forging the metal, using tools to hammer, bend, and cut (cf."
5052,profession,Blacksmith,metalworking_occupations,"Blacksmiths produce objects such as gates, ","Blacksmiths produce objects such as gates, grilles, railings, light fixtures, furniture, sculpture, tools, agricultural implements, decorative and religious items, cooking utensils and weapons."
5053,profession,Silversmith,metalworking_occupations,A silversmith is a metalworker who ,A silversmith is a metalworker who crafts objects from silver.
5054,profession,Silversmith,metalworking_occupations,A silversmith is a metalworker who ,"The terms silversmith and goldsmith are not exactly synonyms as the techniques, training, history, and guilds are or were largely the same but the end product may vary greatly as may the scale of objects created."
5055,profession,Silversmith,metalworking_occupations,The terms silversmith and goldsmith are ,A silversmith is a metalworker who crafts objects from silver.
5056,profession,Silversmith,metalworking_occupations,The terms silversmith and goldsmith are ,"The terms silversmith and goldsmith are not exactly synonyms as the techniques, training, history, and guilds are or were largely the same but the end product may vary greatly as may the scale of objects created."
5057,profession,Jewellery,metalworking_occupations,Jewellery or jewelry consists of decorative ,"Jewellery or jewelry consists of decorative items worn for personal adornment, such as brooches, rings, necklaces, earrings, pendants, bracelets, and cufflinks."
5058,profession,Jewellery,metalworking_occupations,Jewellery or jewelry consists of decorative ,Jewellery may be attached to the body or the clothes.
5059,profession,Jewellery,metalworking_occupations,Jewellery may be attached to the ,"Jewellery or jewelry consists of decorative items worn for personal adornment, such as brooches, rings, necklaces, earrings, pendants, bracelets, and cufflinks."
5060,profession,Jewellery,metalworking_occupations,Jewellery may be attached to the ,Jewellery may be attached to the body or the clothes.
5061,profession,Foundry,metalworking_occupations,A foundry is a factory that ,A foundry is a factory that produces metal castings.
5062,profession,Foundry,metalworking_occupations,A foundry is a factory that ,"For example, an iron foundry may use a cupola, induction furnace, or EAF, while a steel foundry will use an EAF or induction furnace."
5063,profession,Foundry,metalworking_occupations,"For example, an iron foundry may ",A foundry is a factory that produces metal castings.
5064,profession,Foundry,metalworking_occupations,"For example, an iron foundry may ","For example, an iron foundry may use a cupola, induction furnace, or EAF, while a steel foundry will use an EAF or induction furnace."
5065,profession,Machinist,metalworking_occupations,A machinist is a tradesperson who ,"A machinist is a tradesperson who machines using hand tools and machine tools to create or modify a part that is made of metal, plastics, or wood, although plastics or wood machining is rarely manufactured by machinists as those materials require lesser skill and almost all the work performed by a machinist is done on metal."
5066,profession,Machinist,metalworking_occupations,A machinist is a tradesperson who ,A machinist is to metal what a carpenter or cabinet maker is to wood.
5067,profession,Machinist,metalworking_occupations,A machinist is to metal what ,"A machinist is a tradesperson who machines using hand tools and machine tools to create or modify a part that is made of metal, plastics, or wood, although plastics or wood machining is rarely manufactured by machinists as those materials require lesser skill and almost all the work performed by a machinist is done on metal."
5068,profession,Machinist,metalworking_occupations,A machinist is to metal what ,A machinist is to metal what a carpenter or cabinet maker is to wood.
5069,profession,Machine_tool,metalworking_occupations,A machine tool is a machine for ,"A machine tool is a machine for handling or machining metal or other rigid materials, usually by cutting, boring, grinding, shearing, or other forms of deformation."
5070,profession,Machine_tool,metalworking_occupations,A machine tool is a machine for ,Machine tools employ some sort of tool that does the cutting or shaping.
5071,profession,Machine_tool,metalworking_occupations,Machine tools employ some sort of ,"A machine tool is a machine for handling or machining metal or other rigid materials, usually by cutting, boring, grinding, shearing, or other forms of deformation."
5072,profession,Machine_tool,metalworking_occupations,Machine tools employ some sort of ,Machine tools employ some sort of tool that does the cutting or shaping.
5073,profession,CNC,metalworking_occupations,A CNC machine processes a ,A CNC machine processes a  piece of material to meet specifications by following a coded programmed instruction and without a manual operator.
5074,profession,CNC,metalworking_occupations,A CNC machine processes a ,"A CNC machine is a motorized maneuverable tool and often a motorized maneuverable platform, which are both controlled by a computer, according to specific input instructions."
5075,profession,CNC,metalworking_occupations,A CNC machine is a motorized ,A CNC machine processes a  piece of material to meet specifications by following a coded programmed instruction and without a manual operator.
5076,profession,CNC,metalworking_occupations,A CNC machine is a motorized ,"A CNC machine is a motorized maneuverable tool and often a motorized maneuverable platform, which are both controlled by a computer, according to specific input instructions."
5077,profession,Tool_and_die_maker,metalworking_occupations,Tool and die makers are a class of machinists ,Tool and die makers are a class of machinists in the manufacturing industries.
5078,profession,Tool_and_die_maker,metalworking_occupations,Tool and die makers are a class of machinists ,"Tool and die makers work primarily in toolroom environments—sometimes literally in one room but more often in an environment with flexible, semipermeable boundaries from production work."
5079,profession,Tool_and_die_maker,metalworking_occupations,Tool and die makers work primarily in toolroom environments—sometimes ,Tool and die makers are a class of machinists in the manufacturing industries.
5080,profession,Tool_and_die_maker,metalworking_occupations,Tool and die makers work primarily in toolroom environments—sometimes ,"Tool and die makers work primarily in toolroom environments—sometimes literally in one room but more often in an environment with flexible, semipermeable boundaries from production work."
5081,profession,Moldmaker,metalworking_occupations,A moldmaker or molder is a ,"A moldmaker or molder is a skilled tradesperson who fabricates moulds for use in casting metal products.Moldmakers are generally employed in foundries, where molds are used to cast products from metals such as aluminium and cast iron."
5082,profession,Welder,metalworking_occupations,A welder is a tradesperson who specializes in ,A welder is a tradesperson who specializes in fusing materials together.
5083,profession,Welder,metalworking_occupations,A welder is a tradesperson who specializes in ,"The term welder refers to the operator, the machine is referred to as the welding power supply."
5084,profession,Welder,metalworking_occupations,The term welder refers to the ,A welder is a tradesperson who specializes in fusing materials together.
5085,profession,Welder,metalworking_occupations,The term welder refers to the ,"The term welder refers to the operator, the machine is referred to as the welding power supply."
5086,profession,Boilermaker,metalworking_occupations,A boilermaker is a tradesperson who ,"A boilermaker is a tradesperson who fabricates steel, iron, or copper into boilers and other large containers intended to hold hot gas or liquid, as well as maintains and repairs boilers and boiler systems.Although the name originated from craftsmen who made boilers, boilermakers in fact assemble, maintain, and repair other large vessels and closed vats."
5087,profession,Boilermaker,metalworking_occupations,A boilermaker is a tradesperson who ,"The boilermaker trade evolved from industrial blacksmithing; in the early nineteenth century, a boilermaker was called a boilersmith."
5088,profession,Boilermaker,metalworking_occupations,The boilermaker trade evolved from industrial ,"A boilermaker is a tradesperson who fabricates steel, iron, or copper into boilers and other large containers intended to hold hot gas or liquid, as well as maintains and repairs boilers and boiler systems.Although the name originated from craftsmen who made boilers, boilermakers in fact assemble, maintain, and repair other large vessels and closed vats."
5089,profession,Boilermaker,metalworking_occupations,The boilermaker trade evolved from industrial ,"The boilermaker trade evolved from industrial blacksmithing; in the early nineteenth century, a boilermaker was called a boilersmith."
5090,profession,Pipefitter,metalworking_occupations,A pipefitter or steamfitter is a ,"A pipefitter or steamfitter is a tradesperson who installs, assembles, fabricates, maintains and repairs mechanical piping systems."
5091,profession,Pipefitter,metalworking_occupations,A pipefitter or steamfitter is a ,Pipefitters usually begin as helpers or apprentices.
5092,profession,Pipefitter,metalworking_occupations,Pipefitters usually begin as helpers or ,"A pipefitter or steamfitter is a tradesperson who installs, assembles, fabricates, maintains and repairs mechanical piping systems."
5093,profession,Pipefitter,metalworking_occupations,Pipefitters usually begin as helpers or ,Pipefitters usually begin as helpers or apprentices.
5094,profession,Gunsmith,metalworking_occupations,A gunsmith is a person who ,"A gunsmith is a person who repairs, modifies, designs, or builds guns."
5095,profession,Gunsmith,metalworking_occupations,A gunsmith is a person who ,"Gunsmiths do modifications and changes to a firearm that may require a very high level of craftsmanship, requiring the skills of a top-level machinist, a very skilled wood worker, and even an engineer."
5096,profession,Gunsmith,metalworking_occupations,Gunsmiths do modifications and changes to ,"A gunsmith is a person who repairs, modifies, designs, or builds guns."
5097,profession,Gunsmith,metalworking_occupations,Gunsmiths do modifications and changes to ,"Gunsmiths do modifications and changes to a firearm that may require a very high level of craftsmanship, requiring the skills of a top-level machinist, a very skilled wood worker, and even an engineer."
5098,profession,Marquetry,metalworking_occupations,Marquetry is the art and ,"Marquetry is the art and craft of applying pieces of veneer to a structure to form decorative patterns, designs or pictures."
5099,profession,Marquetry,metalworking_occupations,Marquetry is the art and ,"Marquetry differs from the more ancient craft of inlay, or intarsia, in which a solid body of one material is cut out to receive sections of another to form the surface pattern."
5100,profession,Marquetry,metalworking_occupations,Marquetry differs from the more ancient ,"Marquetry is the art and craft of applying pieces of veneer to a structure to form decorative patterns, designs or pictures."
5101,profession,Marquetry,metalworking_occupations,Marquetry differs from the more ancient ,"Marquetry differs from the more ancient craft of inlay, or intarsia, in which a solid body of one material is cut out to receive sections of another to form the surface pattern."
5102,profession,Farrier,metalworking_occupations,A farrier is a specialist in ,"A farrier is a specialist in equine hoof care, including the trimming and balancing of horses' hooves and the placing of shoes on their hooves, if necessary."
5103,profession,Farrier,metalworking_occupations,A farrier is a specialist in ,A farrier combines some blacksmith's skills with some veterinarian's skills to care for horses' feet.
5104,profession,Farrier,metalworking_occupations,A farrier combines some blacksmith's skills ,"A farrier is a specialist in equine hoof care, including the trimming and balancing of horses' hooves and the placing of shoes on their hooves, if necessary."
5105,profession,Farrier,metalworking_occupations,A farrier combines some blacksmith's skills ,A farrier combines some blacksmith's skills with some veterinarian's skills to care for horses' feet.
5106,profession,Furniture,metalworking_occupations,Furniture refers to movable objects intended ,"Furniture refers to movable objects intended to support various human activities such as seating, eating, and sleeping."
5107,profession,Furniture,metalworking_occupations,Furniture refers to movable objects intended ,"Furniture is also used to hold objects at a convenient height for work, or to store things."
5108,profession,Furniture,metalworking_occupations,Furniture is also used to hold ,"Furniture refers to movable objects intended to support various human activities such as seating, eating, and sleeping."
5109,profession,Furniture,metalworking_occupations,Furniture is also used to hold ,"Furniture is also used to hold objects at a convenient height for work, or to store things."
5110,profession,Laborer,metalworking_occupations,A laborer is a person who ,"A laborer is a person who works in manual labor types, especially in the construction and factory industries' workforce."
5111,profession,Laborer,metalworking_occupations,A laborer is a person who ,"Laborers are in a class of wage-earners in which their only possession of significant material value is their labor, this is the proletariat."
5112,profession,Laborer,metalworking_occupations,Laborers are in a class of ,"A laborer is a person who works in manual labor types, especially in the construction and factory industries' workforce."
